,State,City,Location,Store Type,Address,Endpoint
257,New York,Huntington Station,WALT WHITMAN SHOPS,"Gap,babyGap,GapKids,GapBody","160 Walt Whitman Road Suite 1100,Huntington Station, NY 11746",https://www.gap.com/stores/ny/huntingtonstation/
258,New York,Lake George,FRENCH MTN COMMONS,Gap Factory Store,"1439 State Route 9 Ste 11,Lake George, NY 12845",https://www.gap.com/stores/ny/lakegeorge/
259,New York,Larchmont,POST ROAD-LARCHMONT,"Gap,GapKids,GapBody","1340 Boston Post Rd ,Larchmont, NY 10538",https://www.gap.com/stores/ny/larchmont/
260,New York,Merrick,MERRICK S/C,"1969,Gap,babyGap,GapKids,GapBody","1970 Merrick Rd ,Merrick, NY 11566",https://www.gap.com/stores/ny/merrick/
261,New York,Middletown,ORANGE PLAZA,Gap Factory Store,"470 Route 211 East Suite #15/16,Middletown, NY 10940",https://www.gap.com/stores/ny/middletown/
262,New York,Mt  Kisco,S MOGER AVE-MT KISCO,"Gap,babyGap,GapKids,GapBody","65 South Moger ,Mt  Kisco, NY 10549",https://www.gap.com/stores/ny/mtkisco/
263,New York,Nanuet,THE SHOPS AT NANUET,"Gap,babyGap,GapKids,GapBody","6121 Fashion Drive ,Nanuet, NY 10954",https://www.gap.com/stores/ny/nanuet/
264,New York,New York,LINCOLN SQUARE - NY,"1969,Gap,babyGap,GapKids,GapBody","1988 Broadway ,New York, NY 10023",https://www.gap.com/stores/ny/newyork/
265,New York,New York,GWB MARKETPLACE-NY,Gap Factory Store,"4211 Broadway Ste W1.1,New York, NY 10033",https://www.gap.com/stores/ny/newyork/
266,New York,New York,TIMES SQUARE,"Gap,babyGap,GapKids,GapBody","1514 Broadway ,New York, NY 10036",https://www.gap.com/stores/ny/newyork/
267,New York,New York,85TH & 3RD - NY,"Gap,babyGap,GapKids,GapBody","1511 3rd Ave ,New York, NY 10028",https://www.gap.com/stores/ny/newyork/
268,New York,New York,42ND & 3RD - NY,"Gap,babyGap,GapKids,GapBody","657 3rd Ave ,New York, NY 10017-5605",https://www.gap.com/stores/ny/newyork/
269,New York,New York,264 W. 125TH STREET,Gap Factory Store,"264 W 125th Street ,New York, NY 10027",https://www.gap.com/stores/ny/newyork/
270,New York,New York,55 THOMAS SHOWRM,,"55 Thomas Street ,New York, NY 10013",https://www.gap.com/stores/ny/newyork/
271,New York,New York,Flatiron -20th & 5th,"Gap,GapBody","156 5th Ave ,New York, NY 10010",https://www.gap.com/stores/ny/newyork/
272,New York,New York,BROADWAY & MAIDEN,Gap Factory Store,"172 Broadway ,New York, NY 10038",https://www.gap.com/stores/ny/newyork/
273,New York,Niagara Falls,NIAGARA FALLS,Gap Factory Store,"1970 Military Rd ,Niagara Falls, NY 14304",https://www.gap.com/stores/ny/niagarafalls/
274,New York,Niskayuna,MOHAWK COMMONS,Gap Factory Store,"400 Balltown Road Space 6b,Niskayuna, NY 12304",https://www.gap.com/stores/ny/niskayuna/
275,New York,Oceanside,"Sands, The",Gap Factory Store,"3501 Long Beach Road ,Oceanside, NY 11572",https://www.gap.com/stores/ny/oceanside/
276,New York,Plainview,Woodbury Plaza,Gap Factory Store,"403 South Oyster Bay Road ,Plainview, NY 11803",https://www.gap.com/stores/ny/plainview/
277,New York,Queens,82ND ST JACKSON HGHT,Gap Factory Store,"37-32 82nd Street ,Queens, NY 11372",https://www.gap.com/stores/ny/queens/
278,New York,Riverhead,RIVERHEAD TANGER,Gap Factory Store,"1770 West Main Street Suite 1101,Riverhead, NY 11901",https://www.gap.com/stores/ny/riverhead/
279,New York,Saratoga Springs,CONGRESS PARK CENTRE,"Gap,GapKids,GapBody","341 Broadway ,Saratoga Springs, NY 12866",https://www.gap.com/stores/ny/saratogasprings/
280,New York,Scarsdale,VERNON HILLS,"Gap,babyGap,GapKids,GapBody","700 Post Road ,Scarsdale, NY 10583-5063",https://www.gap.com/stores/ny/scarsdale/
281,New York,Staten Island,EMPIRE OUTLETS,Gap Factory Store,"55 Richmond Terrace Space 307-311,Staten Island, NY 10301",https://www.gap.com/stores/ny/statenisland/
282,New York,The Bronx,MALL AT BAY PLAZA,"Gap,babyGap,GapKids","200 Baychester Ave Suite 216,The Bronx, NY 10475",https://www.gap.com/stores/ny/thebronx/
283,New York,The Bronx,SHOPS @ BRUCKNER BLV,Gap Factory Store,"845 White Plains ,The Bronx, NY 10473",https://www.gap.com/stores/ny/thebronx/
284,New York,The Bronx,FORDHAM ROAD-BRONX,Gap Factory Store,"271 E. Fordham Road ,The Bronx, NY 10458",https://www.gap.com/stores/ny/thebronx/
285,New York,Vestal,TOWN SQUARE MALL,Gap Factory Store,"2505 Vestal Parkway East ,Vestal, NY 13850",https://www.gap.com/stores/ny/vestal/
286,New York,Victor,EASTVIEW,"Gap,babyGap,GapKids,GapBody","216 Eastview Mall .,Victor, NY 14564-1009",https://www.gap.com/stores/ny/victor/
287,New York,West Nyack,PALISADES CENTER,"Gap,GapKids,GapBody","2520 Palisades Center Drive Space F206a,West Nyack, NY 10994",https://www.gap.com/stores/ny/westnyack/
288,New York,Yonkers,CROSS COUNTY S/C,"Gap,babyGap,GapKids,GapBody","33 Mall Walk Ste 33,35,37,Yonkers, NY 10704-1201",https://www.gap.com/stores/ny/yonkers/
289,New York,Yonkers,RIDGE HILL,"Gap,babyGap,GapKids,GapBody","199 Market Street ,Yonkers, NY 10710",https://www.gap.com/stores/ny/yonkers/
290,North Carolina,Asheville,ASHEVILLE OUTLETS,Gap Factory Store,"800 Brevard Road Ste 364,Asheville, NC 28806",https://www.gap.com/stores/nc/asheville/
291,North Carolina,Blowing Rock,SHOPPES ON THE PARKWAY,Gap Factory Store,"200 Shoppes On The Parkway Rd Ste 57,Blowing Rock, NC 28605",https://www.gap.com/stores/nc/blowingrock/
292,North Carolina,Charlotte,CHARLOTTE PREM OUTLT,Gap Factory Store,"5416 New Fashion Way Suite 870,Charlotte, NC 28278",https://www.gap.com/stores/nc/charlotte/
293,North Carolina,Charlotte,SOUTHPARK S/C - NC,"Gap,babyGap,GapKids","4400 Sharon Road #g-14a,Charlotte, NC 28211-3531",https://www.gap.com/stores/nc/charlotte/
294,North Carolina,Charlotte,ARBORETUM (THE) - NC,"Gap,babyGap,GapKids,GapBody","8022 Providence Road Ste 900,Charlotte, NC 28277-9755",https://www.gap.com/stores/nc/charlotte/
295,North Carolina,Durham,STREETS @ SOUTHPOINT,"Gap,babyGap,GapKids,GapBody","6910 Fayetteville Rd Suite #255,Durham, NC 27713",https://www.gap.com/stores/nc/durham/
296,North Carolina,Mebane,MEBANE TANGER,Gap Factory Store,"4000 Arrowhead Road Suite 290,Mebane, NC 27302",https://www.gap.com/stores/nc/mebane/
297,North Carolina,Nags Head,NAGS HEAD,Gap Factory Store,"7100 South Croatan Highway Space #8,Nags Head, NC 27959",https://www.gap.com/stores/nc/nagshead/
298,North Carolina,Raleigh,CRABTREE VALLEY,"Gap,GapKids,GapBody","4325 Glenwood Avenue Suite 1060 - 252,Raleigh, NC 27612",https://www.gap.com/stores/nc/raleigh/
299,North Carolina,Smithfield,CAROLINA PREMIUM,Gap Factory Store,"1025 Outlet Center Drive Ste #720,Smithfield, NC 27577",https://www.gap.com/stores/nc/smithfield/
300,North Carolina,Wilmington,MAYFAIRE TOWN CENTER,"Gap,babyGap,GapKids","6842 Main Street ,Wilmington, NC 28405",https://www.gap.com/stores/nc/wilmington/
301,North Carolina,Winston Salem,HANES,"Gap,babyGap,GapKids,GapBody","3320 Silas Creek Parkway Ste #8832,Winston Salem, NC 27103-3031",https://www.gap.com/stores/nc/winstonsalem/
302,Ohio,Aurora,AURORA PREMIUM,Gap Factory Store,"549 So. Chillicothe Road Space #0440,Aurora, OH 44202",https://www.gap.com/stores/oh/aurora/
303,Ohio,Cincinnati,ROOKWOOD COMMONS,"1969,Gap,babyGap,GapKids,GapBody","2659 Edmondson Road Space No. A9,Cincinnati, OH 45209",https://www.gap.com/stores/oh/cincinnati/
304,Ohio,Columbus,EASTON T/C,"Gap,babyGap,GapKids","4000 Easton Station C-112,Columbus, OH 43219-6080",https://www.gap.com/stores/oh/columbus/
305,Ohio,Monroe,CINCINNATI PREMIUM,Gap Factory Store,"131 Premium Outlets Drive ,Monroe, OH 45050",https://www.gap.com/stores/oh/monroe/
306,Ohio,Sunbury,COLUMBUS TANGER,Gap Factory Store,"400 South Wilson Road Suite 280,Sunbury, OH 43074",https://www.gap.com/stores/oh/sunbury/
307,Ohio,Westlake,CROCKER PARK,"Gap,babyGap,GapKids,GapBody","206 Market Street ,Westlake, OH 44145",https://www.gap.com/stores/oh/westlake/
308,Oklahoma,Oklahoma City,PENN SQUARE,"Gap,babyGap,GapKids,GapBody","1901 Nw Expressway St 1094,Oklahoma City, OK 73118",https://www.gap.com/stores/ok/oklahomacity/
309,Oklahoma,Oklahoma City,OKLAHOMA CITY F/S,Gap Factory Store,"7630 West Reno Avenue Suite 200,Oklahoma City, OK 73127",https://www.gap.com/stores/ok/oklahomacity/
