Unnamed: 0,Review_ID,Review_Text,Filled_Stars,Review_Time,filename
0,ChZDSUhNMG9nS0VJQ0FnSURabnB2ZWJBEAE,"Really efficient returns experience and since I just wanted to get a new size ordered, the guy at the desk helped me match the discount I got online. In and out in less than 10 minutes without the hassle of needing to reorder myself. Thanks!",5,2023,Michigan_Novi_Twelve Oaks.csv
1,ChdDSUhNMG9nS0VJQ0FnSURwM0tUQl93RRAB,"I came into the store today to return a pair of pants I had purchased online. I was unaware that they were from Banana Republic Factory. When I walked in the two ladies at the front just glared at me, and did not ask how can I help, how are …",2,2023,Michigan_Novi_Twelve Oaks.csv
2,ChdDSUhNMG9nS0VJQ0FnSUMtOGU2RXp3RRAB,"Mawata is the best! She helped me and got me the dress I needed, she called another store and got my dress for me. Great customer service! 😃 …",5,2023,Michigan_Novi_Twelve Oaks.csv
3,ChdDSUhNMG9nS0VJQ0FnSURPODRueTdRRRAB,Stylish clothes with a limited selection. Hit or miss if you like the current selection. Worth checking out. Store is clean and well organized for a quick shop.,4,2022,Michigan_Novi_Twelve Oaks.csv
4,ChdDSUhNMG9nS0VJQ0FnSURRMUpTTHl3RRAB,Purchased a leather jacket (retail $450) for around $240 (after 50% off coupon with banana republic credit card). I wore it for only few days and the leather started to rip from where the left pocket gets sewed to the body of the jacket. No …,1,2018,Michigan_Novi_Twelve Oaks.csv
5,ChZDSUhNMG9nS0VJQ0FnSUNtNDVxNkhREAE,Wonderful selection. Amazing staff. Very sweet and friendly. Make excellent recommendations.,5,2022,Michigan_Novi_Twelve Oaks.csv
6,ChZDSUhNMG9nS0VJQ0FnSUN1X09icmNnEAE,Sales are where it's at. Sometimes amazing staff- but sometimes ignoring customers.,4,2022,Michigan_Novi_Twelve Oaks.csv
7,ChZDSUhNMG9nS0VJQ0FnSUNRMzkzdlVnEAE,"The staff seem to go out of their way to not interact with you. The store is a mess, with the back room heaped on sales clothing à la TJ Maxx.",3,2016,Michigan_Novi_Twelve Oaks.csv
8,ChdDSUhNMG9nS0VJQ0FnSUNvaGIyZTdRRRAB,When you enter Banana Republic your greeted by an array of beautiful men & women pieces that will help you look & feel as stylish as possible.,5,2019,Michigan_Novi_Twelve Oaks.csv
9,ChZDSUhNMG9nS0VJQ0FnSUNvbnVTU0h3EAE,Love their dress clothes! Wait until they have sales to get reasonable deals.,4,2019,Michigan_Novi_Twelve Oaks.csv
0,ChdDSUhNMG9nS0VJQ0FnSUN4dGRUdHhBRRAB,I usually have a very pleasant experience while shopping at BR. However the experience I had with the manager there was why online shopping will close stores and take jobs away. Being rude to customers is not good customer service. I will …,1,2023,Michigan_Rochester Hills_VILLAGE ROCHESTER.csv
1,ChZDSUhNMG9nS0VJQ0FnSUNoOHQzYkR3EAE,Best sales and service around Shanna was amazing to work with. Left looking and feeling great. Best BR in the state. 5 stars.,5,2023,Michigan_Rochester Hills_VILLAGE ROCHESTER.csv
2,ChdDSUhNMG9nS0VJQ0FnSURCdFA2TDR3RRAB,"6 ⭐ easy! They greet me before I can make it to the men's department the other one's don't.
I shop at other locations but I only buy from this one because of the great! Customer service experience.❤️",5,2023,Michigan_Rochester Hills_VILLAGE ROCHESTER.csv
